hour,queue_len,service,wait_time
15,36,1,104.0
12,25,0,22.0
16,34,0,26.0
13,33,1,100.0
15,34,1,102.0
11,39,1,72.0
15,15,0,24.0
16,37,0,26.0
13,12,0,25.0
12,22,0,21.0
16,21,1,51.0
16,15,1,45.0
11,27,0,22.0
14,47,0,48.0
13,34,0,41.0
10,44,0,29.0
16,45,1,81.0
14,7,1,56.0
10,43,0,29.0
13,21,1,76.0
9,20,0,16.0
14,25,0,33.0
17,39,1,78.0
9,20,0,21.0
11,24,1,54.0
15,40,0,49.0
12,0,1,22.0
17,5,0,13.0
11,22,1,53.0
13,50,0,52.0
11,22,0,23.0
15,42,1,114.0
13,42,0,47.0
17,22,1,53.0
15,31,1,94.0
10,29,0,28.0
12,12,0,16.0
17,42,0,31.0
10,17,0,16.0
17,22,1,52.0
13,14,0,30.0
10,32,0,25.0
12,20,0,21.0
15,38,1,111.0
16,22,0,21.0
11,26,1,57.0
9,44,0,33.0
12,43,1,78.0
10,17,0,18.0
16,23,0,23.0
12,50,1,87.0
10,46,0,35.0
14,39,0,44.0
14,50,0,50.0
12,41,1,69.0
14,6,0,16.0
10,49,1,83.0
10,47,1,84.0
12,19,1,47.0
16,26,0,19.0
15,5,1,47.0
17,26,1,55.0
16,8,0,15.0
13,44,1,120.0
10,30,1,64.0
13,20,0,25.0
16,25,0,23.0
17,39,1,74.0
17,47,0,31.0
9,44,0,28.0
17,12,0,16.0
15,48,1,120.0
17,22,1,47.0
16,19,0,18.0
9,36,1,70.0
16,27,0,26.0
16,16,0,17.0
11,27,0,27.0
9,40,0,26.0
16,1,0,6.0
11,24,1,57.0
11,49,1,82.0
9,40,1,76.0
13,5,1,46.0
15,10,0,21.0
17,37,0,28.0
15,5,1,44.0
17,44,1,79.0
16,10,0,15.0
10,13,0,16.0
9,1,0,9.0
15,39,1,111.0
15,2,0,20.0
16,34,0,26.0
13,32,1,99.0
11,23,1,52.0
16,18,1,45.0
14,17,0,29.0
11,48,0,34.0
9,23,1,56.0
11,44,0,35.0
13,34,0,42.0
11,0,0,12.0
9,35,1,62.0
13,24,1,83.0
15,44,0,50.0
15,48,0,48.0
17,42,0,31.0
11,33,0,24.0
15,24,1,85.0
9,15,1,42.0
12,33,0,25.0
12,28,0,23.0
13,18,1,76.0
15,22,0,34.0
15,18,1,74.0
12,24,0,18.0
15,15,1,63.0
11,50,0,38.0
14,8,0,17.0
10,0,1,24.0
17,41,1,80.0
13,18,0,27.0
14,32,0,35.0
12,33,1,66.0
15,15,1,62.0
17,43,0,34.0
15,39,0,42.0
9,17,1,44.0
9,33,1,66.0
17,24,1,54.0
17,44,1,81.0
12,5,1,32.0
17,20,0,20.0
11,5,0,10.0
15,31,1,97.0
14,40,0,44.0
16,47,0,32.0
17,42,1,78.0
13,38,0,40.0
9,30,0,26.0
11,41,0,31.0
16,9,1,38.0
14,29,1,91.0
16,17,0,21.0
17,23,0,23.0
12,8,0,14.0
9,30,0,29.0
9,14,0,17.0
12,3,0,10.0
15,39,1,111.0
10,8,0,13.0
11,44,0,33.0
9,8,1,38.0
13,25,0,34.0
9,3,0,12.0
16,16,0,20.0
9,15,0,20.0
9,14,1,42.0
10,34,0,27.0
10,4,1,32.0
14,4,0,19.0
15,19,0,26.0
13,14,1,66.0
9,17,0,20.0
9,46,1,84.0
11,1,1,24.0
10,28,1,60.0
13,12,0,26.0
14,3,0,15.0
15,41,0,45.0
12,44,0,34.0
15,9,1,53.0
16,30,0,25.0
9,40,0,28.0
14,7,1,54.0
16,2,1,29.0
13,47,0,50.0
12,45,1,80.0
10,8,1,33.0
14,29,1,92.0
14,10,1,58.0
9,34,1,66.0
17,36,0,28.0
14,41,0,45.0
11,12,0,19.0
12,35,0,26.0
12,12,0,18.0
11,11,0,18.0
11,36,0,27.0
11,9,1,35.0
12,8,0,16.0
15,6,0,16.0
12,1,0,11.0
17,22,1,49.0
9,38,0,31.0
16,39,0,29.0
15,38,1,109.0
10,20,0,19.0
16,22,0,18.0
9,28,1,63.0
17,13,0,16.0
17,25,1,63.0
10,50,0,33.0
15,4,0,17.0
11,30,0,23.0
15,24,1,82.0
17,30,1,66.0
12,49,1,88.0
9,19,0,16.0
10,43,0,34.0
9,16,1,46.0
13,44,1,120.0
13,1,0,14.0
15,24,0,32.0
17,12,0,16.0
17,38,0,28.0
11,27,1,61.0
11,41,0,29.0
11,5,0,9.0
12,2,0,8.0
16,34,0,25.0
14,17,0,27.0
16,10,0,15.0
9,19,0,20.0
16,4,1,31.0
12,18,1,47.0
9,21,1,51.0
16,18,0,23.0
12,46,1,85.0
14,15,0,27.0
16,23,0,23.0
12,40,0,26.0
11,3,0,10.0
17,14,1,42.0
11,24,0,20.0
17,43,0,28.0
10,34,1,68.0
10,13,1,44.0
10,48,1,85.0
14,18,0,30.0
11,37,1,71.0
17,35,0,27.0
12,6,0,15.0
9,29,1,58.0
12,18,1,44.0
9,48,1,82.0
13,24,0,35.0
12,15,0,18.0
16,46,0,34.0
16,39,0,33.0
15,50,0,50.0
11,7,0,16.0
9,17,1,45.0
9,27,0,22.0
11,15,1,44.0
14,18,1,72.0
15,41,1,114.0
14,16,1,69.0
14,44,1,120.0
14,12,0,24.0
11,6,0,12.0
14,26,0,35.0
16,9,0,12.0
10,33,1,64.0
13,35,1,102.0
9,24,1,56.0
9,5,0,17.0
13,23,0,32.0
11,17,0,15.0
12,22,0,19.0
11,5,1,33.0
9,28,1,58.0
9,24,0,19.0
13,16,0,28.0
14,45,1,120.0
11,23,1,51.0
17,10,1,36.0
13,25,1,87.0
16,50,0,37.0
9,33,1,64.0
13,27,1,84.0
11,2,1,28.0
9,10,1,37.0
12,37,0,29.0
13,13,0,26.0
15,50,0,51.0
9,25,0,22.0
11,47,0,32.0
10,20,0,18.0
17,38,1,74.0
14,29,1,92.0
11,7,1,31.0
16,50,1,89.0
16,19,0,19.0
10,47,1,85.0
14,31,0,36.0
15,21,1,75.0
10,6,1,33.0
10,8,1,33.0
9,44,0,31.0
16,0,1,23.0
9,28,0,23.0
17,7,0,13.0
14,3,1,43.0
15,34,0,40.0
15,2,0,17.0
11,44,1,80.0
10,39,1,74.0
17,6,1,31.0
16,26,1,60.0
15,0,1,38.0
17,26,1,55.0
12,15,0,19.0
12,37,1,73.0
9,6,1,32.0
16,43,0,31.0
11,22,1,48.0
15,40,0,43.0
10,10,1,39.0
10,41,1,75.0
15,32,0,39.0
14,49,1,120.0
11,35,0,28.0
17,36,1,71.0
14,40,1,113.0
14,16,0,25.0
9,34,1,68.0
12,47,1,87.0
14,4,0,19.0
14,47,1,120.0
13,31,0,34.0
9,2,1,27.0
16,46,0,36.0
13,34,1,104.0
13,13,0,26.0
15,47,0,49.0
12,30,1,63.0
14,30,1,95.0
12,16,0,20.0
11,23,1,54.0
15,22,0,33.0
16,17,1,46.0
12,49,1,86.0
10,13,0,16.0
11,49,0,35.0
9,14,1,45.0
16,14,1,44.0
11,5,1,29.0
15,26,1,84.0
13,14,1,66.0
13,49,0,52.0
15,35,1,104.0
17,7,1,34.0
13,14,0,29.0
9,2,0,10.0
9,46,0,35.0
10,12,1,40.0
14,40,0,42.0
17,33,0,25.0
16,23,0,20.0
13,39,0,46.0
9,31,1,66.0
15,31,1,96.0
13,29,1,91.0
14,48,0,49.0
15,12,0,26.0
11,0,0,7.0
11,33,0,26.0
13,14,0,30.0
14,43,0,46.0
17,13,1,39.0
13,28,1,86.0
9,33,0,31.0
12,17,1,47.0
13,6,0,18.0
13,28,0,36.0
15,30,1,92.0
12,24,0,18.0
9,37,1,73.0
13,13,0,25.0
15,7,0,22.0
14,26,1,86.0
13,1,0,16.0
12,16,0,14.0
10,36,0,30.0
12,13,1,39.0
11,24,0,20.0
9,29,0,23.0
16,28,0,20.0
13,19,1,72.0
12,20,1,49.0
16,21,1,50.0
15,34,1,98.0
10,36,1,72.0
9,15,0,18.0
12,49,1,85.0
16,48,1,84.0
10,42,0,33.0
11,16,1,44.0
9,15,0,15.0
9,1,1,26.0
11,3,0,9.0
13,20,0,29.0
11,38,1,72.0
9,33,1,68.0
9,29,0,29.0
16,5,0,15.0
10,16,0,18.0
11,38,0,34.0
10,24,0,23.0
11,4,0,10.0
15,4,0,18.0
9,19,1,47.0
16,15,0,15.0
10,50,1,85.0
11,40,1,75.0
17,36,0,30.0
15,39,0,46.0
12,8,1,33.0
13,4,0,17.0
10,41,0,31.0
16,1,1,27.0
12,8,1,36.0
17,42,1,77.0
13,35,0,44.0
17,21,0,20.0
12,21,1,53.0
13,21,0,30.0
17,33,1,66.0
16,28,0,21.0
11,37,1,70.0
9,45,0,32.0
11,32,1,65.0
12,17,0,24.0
10,6,0,12.0
9,0,1,22.0
15,32,0,42.0
16,0,0,12.0
15,23,1,78.0
13,3,0,18.0
9,3,0,13.0
15,17,0,28.0
15,26,1,87.0
17,42,1,76.0
11,31,1,65.0
17,32,1,64.0
9,27,1,53.0
9,41,0,31.0
12,40,0,27.0
17,35,1,71.0
14,5,0,16.0
11,15,0,13.0
9,33,0,23.0
12,22,0,21.0
17,49,1,87.0
11,41,1,73.0
17,23,0,19.0
15,48,0,51.0
12,12,1,42.0
11,17,0,16.0
13,12,0,25.0
13,48,0,48.0
11,36,1,71.0
17,42,1,79.0
12,38,0,30.0
13,41,0,48.0
12,16,0,20.0
13,14,0,29.0
15,17,0,28.0
17,22,0,25.0
15,50,1,120.0
13,29,1,91.0
15,33,0,40.0
13,3,1,41.0
11,2,0,6.0
15,6,0,21.0
10,17,1,44.0
17,41,1,75.0
9,6,0,16.0
14,39,0,45.0
15,5,1,50.0
16,21,1,51.0
17,0,0,11.0
10,3,0,11.0
10,45,0,31.0
13,48,1,120.0
13,49,0,51.0
14,42,1,118.0
11,28,0,23.0
16,20,1,50.0
9,25,1,56.0
14,13,1,64.0
12,8,1,34.0
9,46,0,35.0
15,11,1,56.0
17,41,1,77.0
12,50,1,86.0
12,50,0,37.0
14,5,0,17.0
11,19,0,18.0
14,23,0,30.0
15,26,0,35.0
11,37,0,30.0
15,7,1,52.0
11,0,1,25.0
10,48,1,84.0
12,48,0,33.0
16,23,1,53.0
17,46,1,83.0
15,6,0,20.0
9,18,1,51.0
11,21,0,21.0
17,34,1,68.0
9,29,0,25.0
17,28,0,23.0
16,21,0,21.0
9,10,1,37.0
14,19,1,73.0
13,28,0,38.0
14,50,0,52.0
13,40,1,113.0
14,41,1,109.0
13,33,0,39.0
13,0,1,37.0
12,30,1,63.0
11,29,1,61.0
11,47,0,34.0
12,17,0,18.0
17,16,1,46.0
10,37,0,25.0
17,13,1,41.0
9,22,1,51.0
9,24,0,24.0
13,14,0,24.0
14,45,0,51.0
14,21,1,77.0
11,2,1,24.0
15,18,0,27.0
17,43,0,33.0
16,33,0,28.0
14,34,1,99.0
16,49,1,89.0
13,0,1,37.0
16,20,0,22.0
12,28,0,22.0
16,5,1,30.0
10,36,0,29.0
13,0,0,14.0
17,50,0,29.0
12,0,0,10.0
14,26,1,82.0
9,20,0,18.0
17,15,1,41.0
9,43,1,81.0
13,39,0,47.0
12,25,1,57.0
11,15,1,43.0
14,27,0,35.0
10,0,1,27.0
11,35,1,65.0
13,9,1,52.0
17,42,1,80.0
10,16,1,47.0
16,22,1,54.0
10,6,1,30.0
13,43,1,120.0
15,6,0,22.0
16,43,0,33.0
9,14,0,12.0
14,33,1,100.0
9,45,1,82.0
10,44,1,79.0
9,3,0,12.0
13,13,0,24.0
17,13,0,15.0
14,15,1,69.0
9,6,0,13.0
9,31,0,23.0
10,18,1,45.0
17,1,0,9.0
11,9,1,35.0
9,49,0,35.0
13,16,1,68.0
15,36,1,106.0
14,11,1,57.0
9,5,1,33.0
13,21,1,79.0
13,31,0,38.0
14,40,1,110.0
11,19,1,49.0
13,0,1,42.0
15,46,1,120.0
13,5,0,18.0
13,18,1,71.0
13,17,0,29.0
11,5,1,27.0
9,44,1,83.0
13,32,0,42.0
17,22,0,20.0
9,22,0,26.0
11,25,1,59.0
12,12,0,18.0
9,6,1,35.0
9,14,0,19.0
