service_type,priority_score,is_walk_in,party_size,age_bracket,queue_length_ahead,active_counters,hour_of_day,day_of_week,rolling_velocity_mins,queuing_theory_baseline,actual_wait_mins
0,3,1,1,1,5,4,11,6,8.28,5.58,7.5
2,2,1,1,1,11,4,10,4,30.63,55.8,66.4
1,1,0,2,0,12,5,18,5,18.96,38.76,45.8
1,3,1,2,1,14,6,17,4,22.33,33.53,37.6
0,2,0,2,1,27,6,12,3,6.9,20.76,22.5
0,2,1,4,1,25,6,15,6,18.65,54.06,75.6
0,1,1,4,1,4,2,10,4,17.37,27.17,33.7
2,2,1,1,2,19,3,16,4,35.0,138.89,157.4
1,2,0,1,1,43,3,17,1,12.81,113.53,133.5
1,2,1,1,0,44,3,17,6,17.79,160.93,194.6
0,5,0,1,0,12,1,11,3,7.24,27.63,27.5
2,2,1,1,0,9,1,11,6,30.65,175.72,178.7
1,3,0,2,1,19,5,18,4,18.58,41.09,53.1
0,2,1,1,1,2,6,14,0,10.7,5.52,5.7
0,1,0,3,1,42,1,11,6,7.71,235.94,239.1
0,3,1,1,1,21,5,12,4,9.38,23.4,29.2
0,2,1,2,2,44,4,10,2,15.47,105.3,107.2
1,3,0,1,2,5,6,12,1,16.99,14.16,14.5
0,2,1,1,1,3,2,10,3,9.1,10.6,12.8
0,2,0,1,1,45,5,11,6,5.34,30.04,32.7
1,2,1,1,1,29,4,16,1,14.99,67.18,72.6
0,3,0,3,1,15,4,11,5,8.44,15.86,16.8
0,2,1,1,2,13,1,15,3,11.45,93.2,124.5
0,3,1,1,1,17,3,16,5,9.23,26.74,26.1
0,1,0,1,1,44,6,9,2,5.5,29.13,28.5
1,3,0,1,0,43,2,9,1,14.88,159.54,158.2
0,2,0,1,2,26,1,13,1,8.58,136.4,175.7
1,2,1,2,0,5,2,12,5,24.43,44.21,46.7
1,1,0,4,1,5,1,15,5,22.91,87.71,116.0
0,2,0,3,0,27,6,16,1,10.75,29.08,31.4
1,2,1,2,1,16,6,10,3,19.28,33.35,37.3
0,1,1,2,1,44,6,13,0,11.46,63.86,83.7
0,4,1,1,2,7,1,11,3,11.66,54.19,58.0
2,3,1,1,1,43,3,14,2,28.56,210.6,240.0
2,4,1,1,1,21,5,9,5,34.33,66.38,70.5
1,2,0,1,1,36,1,9,2,16.06,363.64,240.0
0,1,0,1,1,2,2,17,3,5.17,6.14,10.2
0,2,1,1,1,11,4,9,0,8.92,16.65,22.2
1,2,1,1,2,31,3,12,3,20.46,133.77,136.5
0,2,1,1,1,14,6,9,0,8.89,13.35,18.8
0,3,1,1,1,44,2,9,4,8.93,99.84,115.4
0,3,0,1,1,38,4,18,2,6.25,32.19,38.7
0,1,1,2,1,37,6,15,0,11.64,55.74,77.2
2,3,1,1,0,44,5,12,4,35.0,162.93,185.2
0,2,0,2,1,39,2,11,6,7.47,92.82,95.8
1,2,0,1,1,33,6,14,2,12.33,44.22,55.2
0,1,0,1,2,4,2,10,4,8.58,13.71,16.4
1,2,0,1,1,40,2,16,6,12.91,160.61,163.1
1,3,0,1,1,11,4,14,6,12.28,21.57,28.5
0,3,0,1,1,7,4,12,3,5.55,7.05,9.2
2,2,0,1,2,16,2,13,2,35.0,178.3,230.4
1,3,1,1,1,29,3,10,3,15.63,76.01,74.4
2,1,0,1,2,18,2,15,4,35.0,232.27,240.0
2,3,1,1,0,30,2,14,0,35.0,268.76,240.0
1,2,1,1,2,15,3,14,6,23.85,79.75,102.9
2,3,1,2,1,40,3,11,0,35.0,233.48,240.0
0,2,1,1,2,19,6,10,0,13.44,28.85,34.4
0,1,1,1,1,19,1,17,6,8.79,120.64,143.2
0,2,0,3,1,44,5,18,1,8.34,46.22,55.4
0,2,0,1,1,28,3,12,1,6.15,36.51,38.3
0,2,1,1,1,8,4,10,3,10.57,13.03,15.1
0,1,0,1,0,34,4,15,0,6.43,40.9,54.9
1,3,0,1,1,35,3,12,1,11.98,73.37,76.9
0,1,0,1,0,35,4,12,6,6.44,42.68,41.3
0,4,1,1,2,6,3,9,4,10.31,9.19,14.5
1,1,0,2,1,33,6,16,4,16.08,62.65,73.6
0,5,1,1,1,26,4,16,1,8.17,15.88,15.3
1,5,1,1,1,5,6,10,4,15.94,5.17,7.7
0,2,1,3,1,8,3,11,2,16.25,30.02,33.7
2,5,0,1,1,10,2,13,3,30.05,52.55,64.4
1,4,1,1,1,37,3,13,1,15.68,80.89,105.3
0,1,1,1,1,21,4,16,2,9.73,36.92,38.5
0,4,0,1,2,39,4,16,5,7.43,28.78,28.8
1,1,0,1,1,42,5,17,6,14.89,93.07,110.8
1,1,0,1,2,34,3,15,4,15.21,126.59,168.3
1,2,1,3,1,41,3,15,3,30.07,254.01,240.0
1,1,0,1,1,41,4,17,5,13.34,100.53,120.2
0,1,1,1,0,17,1,12,1,11.59,141.52,145.9
0,5,1,2,0,32,6,14,6,13.52,26.59,35.2
0,5,1,3,0,13,6,18,6,15.15,37.04,49.0
2,3,1,2,1,11,2,13,3,34.15,104.69,139.6
1,2,1,1,1,44,6,12,4,19.85,92.97,106.0
0,4,1,1,1,29,1,10,2,8.5,99.88,104.0
0,1,0,3,1,9,5,9,4,7.72,10.02,13.4
0,4,0,2,1,21,6,13,2,7.84,13.75,16.1
0,2,1,3,2,5,4,16,1,18.69,21.73,26.7
1,4,1,1,1,9,3,13,5,16.71,26.48,38.7
1,3,1,4,1,35,1,13,2,33.6,589.38,240.0
2,5,1,4,1,10,6,14,0,35.0,29.01,42.8
0,4,1,1,1,34,2,14,5,9.25,63.53,88.6
0,4,0,1,1,29,4,10,6,6.5,18.76,20.2
1,2,1,1,1,37,1,9,3,15.41,354.77,240.0
1,3,1,1,0,41,3,16,2,20.79,145.62,150.3
1,3,0,1,1,39,4,17,5,15.4,78.52,91.2
1,1,1,1,1,29,3,15,5,18.0,127.39,166.2
0,2,1,1,2,26,4,11,5,11.22,44.56,45.5
1,1,1,1,1,25,5,10,3,16.77,60.03,63.1
0,4,1,1,2,26,6,16,3,12.51,23.63,27.7
0,1,0,1,2,14,3,12,4,8.4,31.67,38.3
0,5,0,1,2,45,5,16,2,6.91,19.14,21.3
0,2,1,2,2,28,4,13,5,15.75,71.03,96.5
1,1,0,2,1,32,5,13,2,19.56,94.03,124.7
0,4,1,2,2,18,5,17,4,14.21,25.03,28.3
1,1,0,1,0,0,3,14,4,14.12,5.73,10.2
2,2,1,1,2,7,4,10,3,35.0,50.34,49.9
0,3,1,1,1,31,6,10,3,10.19,26.7,30.7
0,2,0,4,2,20,2,18,4,11.95,81.3,99.3
1,2,0,1,2,44,6,13,6,19.17,90.22,120.9
0,3,1,3,1,1,2,13,1,15.5,9.57,14.3
0,5,1,1,2,0,2,18,6,11.68,13.45,19.0
0,1,0,1,0,17,1,16,2,6.96,92.96,93.6
0,1,0,1,1,45,5,9,1,6.48,41.38,43.9
2,2,1,2,1,34,3,18,5,35.0,331.7,240.0
1,2,1,1,0,6,1,10,4,18.13,117.46,135.3
1,2,0,1,1,4,5,11,6,15.49,8.83,8.7
2,1,1,1,1,6,4,18,0,27.06,36.63,50.5
1,2,0,1,2,31,1,18,3,19.85,1154.18,240.0
0,4,1,1,1,23,1,17,5,8.39,77.97,95.7
2,1,1,2,1,34,2,10,4,33.79,427.36,240.0
1,1,0,2,1,21,2,12,0,17.89,137.12,154.9
1,3,0,1,1,41,5,13,1,12.64,55.21,72.4
2,1,1,1,1,44,5,18,0,31.75,205.63,240.0
0,3,0,1,1,20,5,9,4,5.47,10.96,13.9
0,2,1,2,2,0,5,13,2,15.11,4.56,7.5
0,2,1,1,0,14,5,15,0,10.29,21.98,32.0
0,2,1,1,0,26,4,18,3,11.08,81.93,98.3
1,2,0,2,1,11,1,15,1,15.08,105.62,136.8
2,3,1,3,2,20,2,12,1,35.0,930.32,240.0
0,4,1,1,1,11,6,18,2,9.32,9.66,10.8
1,2,1,4,1,35,1,9,2,35.0,742.75,240.0
0,2,1,1,2,36,5,12,3,13.25,60.94,59.6
0,1,1,1,1,30,3,17,0,8.38,62.24,73.7
0,3,0,1,1,4,1,10,6,6.69,24.95,28.3
0,2,0,1,2,45,5,18,4,6.67,38.23,48.6
2,1,1,2,1,31,4,18,0,34.55,198.24,236.9
0,1,1,2,1,24,2,13,2,12.45,109.19,143.9
1,1,0,1,1,10,1,11,5,14.8,118.72,119.9
1,1,1,1,1,20,3,10,6,15.99,81.9,86.4
0,3,1,1,0,25,2,14,0,10.95,70.35,94.3
2,4,1,2,1,1,3,16,4,35.0,8.65,14.0
2,3,0,1,2,42,5,18,1,35.0,155.92,183.6
0,2,0,1,2,44,4,9,0,6.81,45.19,54.3
0,2,1,2,1,19,1,16,3,13.42,160.04,161.5
0,2,1,1,1,0,4,16,0,8.2,2.0,2.8
0,2,1,2,1,7,1,15,0,13.52,61.31,82.5
0,2,1,1,2,41,1,16,0,11.34,281.79,240.0
1,1,1,1,2,2,4,18,4,20.25,13.8,21.1
1,2,1,1,1,45,4,15,0,15.78,111.7,151.3
0,2,0,1,1,15,4,17,6,6.35,17.12,19.6
0,1,1,1,1,9,5,9,0,8.68,11.57,15.0
2,1,0,1,1,45,1,17,5,24.56,782.03,240.0
0,1,1,1,1,39,1,13,6,9.98,276.2,240.0
0,2,0,3,1,13,6,10,6,9.63,14.61,17.0
0,2,1,1,1,14,5,9,5,10.54,18.06,20.7
2,1,1,1,2,3,4,15,0,35.0,30.71,40.3
0,1,1,3,1,34,5,14,2,12.63,64.62,85.6
1,1,1,1,0,28,1,13,3,17.58,350.88,240.0
1,4,1,1,1,4,6,10,4,15.33,6.65,10.4
0,2,1,1,1,9,3,16,0,9.96,19.29,22.7
1,1,1,1,1,20,3,16,5,19.45,92.56,92.1
0,3,1,1,1,41,3,13,1,8.37,60.56,82.1
1,1,1,1,1,34,3,15,0,17.49,144.33,188.7
1,2,0,1,0,23,5,11,2,13.86,38.86,40.6
1,1,0,1,0,44,5,12,1,16.09,104.15,105.9
0,5,1,1,1,20,4,11,5,10.22,14.82,18.0
1,5,0,1,1,28,5,17,6,12.47,24.7,27.2
0,3,0,1,2,34,2,14,2,7.42,65.33,87.5
0,3,0,2,2,31,5,16,0,8.21,25.73,30.8
0,2,1,1,1,28,3,15,5,9.01,54.79,74.0
1,5,1,1,1,33,2,12,1,19.52,97.19,98.7
1,2,0,2,1,22,3,17,5,19.2,155.41,182.9
0,1,1,1,1,17,3,16,3,9.1,38.01,41.3
1,1,0,3,2,45,5,14,1,28.13,263.56,240.0
0,1,1,2,2,10,5,16,3,14.16,20.19,22.4
1,2,0,1,2,28,1,15,2,18.39,312.97,240.0
0,1,0,2,1,38,2,14,6,8.21,111.67,145.6
1,3,0,1,1,1,5,16,5,14.09,2.89,2.2
0,2,0,2,1,23,1,9,5,6.45,100.18,102.5
2,4,0,4,2,5,5,17,0,35.0,24.31,35.6
0,2,1,1,1,35,5,13,4,10.02,46.33,65.8
0,2,0,1,1,39,6,9,1,5.14,20.54,22.0
0,2,1,1,1,20,6,16,1,10.18,20.97,23.5
2,4,1,1,1,8,1,16,6,33.15,115.01,117.4
2,1,0,1,0,12,4,14,1,35.0,86.38,116.4
0,1,1,1,1,40,6,12,5,10.91,56.44,60.2
1,3,1,1,2,34,6,15,5,20.74,64.36,86.0
1,3,1,1,2,23,5,12,6,19.57,51.72,50.2
1,2,1,1,1,42,3,16,6,17.11,144.02,149.6
1,2,1,1,0,28,2,13,5,18.08,156.79,205.8
0,1,1,1,0,7,5,13,3,9.19,12.22,19.8
0,1,1,1,1,6,6,11,4,9.47,7.3,12.4
2,4,1,3,1,22,4,9,3,35.0,80.02,81.2
2,1,1,3,1,9,4,17,5,35.0,66.13,76.0
1,2,1,1,1,31,2,12,0,18.99,181.62,204.6
0,3,1,1,0,7,4,15,0,10.45,13.16,19.7
0,1,1,1,1,20,5,9,1,9.6,28.84,28.7
1,1,1,1,1,2,5,13,2,16.39,10.72,14.7
2,2,0,1,1,9,6,11,2,31.65,28.85,29.9
2,3,1,1,2,26,3,14,6,35.0,159.67,205.8
1,1,1,1,2,11,3,9,5,23.79,69.04,73.4
1,1,0,1,2,16,6,12,3,18.16,39.51,42.0
0,1,1,1,1,16,4,13,5,9.16,29.12,41.1
0,1,1,1,1,25,3,16,0,9.21,54.78,64.4
2,1,1,3,1,6,4,11,1,35.0,41.0,42.9
1,2,0,1,0,1,5,14,3,16.19,8.84,11.0
0,1,1,2,1,15,1,11,6,10.81,120.67,121.2
0,3,0,1,0,20,3,17,6,6.11,23.07,30.3
1,1,0,1,1,36,6,10,4,13.42,58.05,66.9
0,3,0,1,0,40,6,16,0,7.11,23.44,26.2
0,2,1,4,0,40,3,12,4,20.34,167.88,191.9
1,4,1,1,1,8,1,11,4,15.82,66.69,75.2
1,1,0,1,0,39,2,15,4,15.33,339.05,240.0
1,1,0,1,1,26,4,18,3,13.98,68.49,83.4
0,4,0,1,1,21,6,10,1,5.62,8.3,6.4
1,3,0,3,2,41,5,9,5,28.49,115.63,116.0
0,1,1,1,1,21,2,18,5,9.07,70.48,86.0
0,1,1,1,2,0,2,10,2,13.3,10.22,12.8
1,4,1,2,2,14,5,12,3,24.1,33.64,34.3
1,1,0,4,1,5,6,17,4,22.08,20.87,25.6
1,4,0,3,1,39,1,18,6,18.43,282.83,240.0
1,5,1,1,1,25,5,17,1,15.77,33.9,41.5
1,1,1,1,1,20,2,16,5,17.26,124.33,125.2
0,3,0,1,1,33,3,16,2,5.36,29.27,29.6
0,2,1,1,2,1,3,12,4,11.52,6.55,11.0
0,3,1,1,0,5,6,14,6,11.71,8.91,14.2
0,2,1,3,0,21,3,17,5,16.32,73.15,88.6
2,1,0,1,1,11,2,16,1,25.93,118.34,119.0
0,3,1,1,1,5,2,15,3,9.92,17.37,26.0
2,1,0,1,2,32,1,12,2,35.0,797.88,240.0
1,4,1,1,2,20,3,11,4,19.92,63.97,73.9
1,2,0,1,1,1,4,15,4,13.41,6.6,11.0
1,1,0,2,2,2,6,18,4,21.71,20.63,26.2
1,1,0,2,1,25,4,16,1,18.66,83.15,83.9
0,4,0,1,1,9,4,18,4,6.19,7.78,10.9
0,2,1,2,1,41,1,11,1,13.32,332.91,240.0
1,4,0,4,1,30,3,10,4,22.31,89.44,102.9
0,1,1,3,1,16,4,10,6,15.32,44.61,46.7
0,2,1,2,1,32,1,14,1,10.22,198.36,240.0
1,4,1,1,1,28,5,12,0,16.1,40.96,45.6
0,1,1,1,1,22,1,15,3,10.39,163.56,212.8
2,2,1,2,0,34,3,16,6,35.0,238.82,240.0
2,4,1,1,1,3,3,15,3,27.97,19.85,24.5
2,2,1,4,0,41,4,16,1,35.0,215.15,217.8
0,3,0,1,1,25,3,16,3,5.7,23.79,26.5
0,3,1,1,1,21,4,14,3,10.86,31.51,42.7
2,2,0,1,1,16,6,11,4,24.77,39.8,50.6
0,3,1,2,1,43,4,14,5,10.35,57.73,75.6
2,2,1,1,1,25,3,9,1,35.0,189.3,190.0
2,3,0,1,1,6,2,13,0,31.17,57.03,75.1
2,1,1,1,0,32,6,16,6,35.0,131.34,135.2
0,4,1,3,1,40,1,10,2,14.27,233.55,238.9
0,3,1,2,1,6,3,16,3,10.31,15.97,19.7
2,1,0,1,1,20,3,12,4,24.48,122.03,136.5
0,2,0,1,2,27,6,14,4,6.56,21.14,31.6
0,2,1,1,0,32,1,15,0,9.46,184.02,239.5
1,3,1,1,1,43,4,12,1,19.69,109.85,113.8
2,5,0,1,0,15,6,18,6,32.68,34.08,39.3
1,1,1,1,1,40,6,16,2,18.09,87.25,87.8
1,5,1,1,0,6,1,10,5,20.81,41.39,43.6
0,1,1,1,1,26,1,16,6,8.95,174.15,180.6
1,2,1,1,2,39,4,9,5,21.48,126.21,127.6
