industry_type,service_type,priority_score,is_walk_in,party_size,age_bracket,queue_length_ahead,active_counters,hour_of_day,day_of_week,calendar_load_factor,rolling_velocity_mins,queuing_theory_baseline,actual_wait_mins
1,1,1,0,1,1,27,3,9,2,0.54,16.05,144.45,156.6
5,2,2,1,1,0,46,1,13,1,0.18,25.66,1003.31,300.0
3,1,3,0,3,1,40,1,13,1,0.52,8.0,224.0,246.5
2,0,2,1,2,2,4,4,21,4,0.26,19.32,16.42,16.4
0,0,2,1,2,2,8,3,13,2,0.83,14.21,32.21,39.6
0,1,1,1,1,1,49,4,9,3,0.78,18.47,226.26,254.7
0,1,2,1,1,1,21,5,11,5,0.98,16.65,59.44,72.7
4,1,5,1,1,1,43,7,13,4,0.72,17.14,42.12,51.0
3,0,5,1,4,0,33,1,18,5,0.37,9.31,122.89,129.9
3,2,2,1,1,1,26,5,18,0,0.74,17.68,78.15,91.2
0,1,3,0,1,1,38,3,15,5,0.84,14.04,124.49,142.2
5,0,2,0,1,1,43,5,18,0,0.72,3.59,26.24,31.6
4,0,1,1,1,1,22,4,17,2,0.38,8.58,47.19,52.9
0,1,3,1,2,1,0,3,12,5,0.21,21.03,2.0,4.7
0,1,2,1,1,0,27,5,18,1,0.14,18.47,84.78,86.0
0,0,3,0,1,0,31,2,20,4,0.4,7.9,85.72,94.2
1,1,2,1,1,0,49,3,8,5,0.24,19.91,276.42,286.4
2,0,1,1,2,0,25,1,16,6,0.95,17.18,429.5,300.0
2,1,4,1,1,1,22,1,18,6,0.65,29.6,358.16,300.0
1,0,1,1,3,0,41,7,14,2,0.59,14.23,83.35,92.3
3,0,2,0,2,2,7,7,12,6,0.61,3.73,3.17,2.5
0,1,3,1,1,2,24,7,11,1,0.71,23.76,57.02,67.5
1,0,4,1,1,2,28,3,10,6,0.99,11.05,56.72,72.0
1,0,1,1,1,2,27,7,11,4,0.35,10.06,38.8,40.6
2,1,1,0,3,2,30,5,21,3,0.89,42.22,253.32,286.4
4,2,2,0,1,0,3,6,20,4,0.7,29.75,12.64,17.8
0,1,1,1,1,1,39,6,8,1,0.45,18.99,123.43,135.4
2,0,3,0,1,1,10,2,11,4,0.51,12.66,44.31,49.8
2,0,1,1,1,1,28,7,18,2,0.83,15.3,61.2,69.7
0,0,3,0,1,0,42,3,18,3,0.53,7.38,72.32,81.7
3,0,3,1,2,0,43,1,21,4,0.84,6.52,196.25,223.3
0,0,3,1,1,1,34,4,14,2,0.93,11.94,71.04,85.5
0,0,3,1,1,1,29,7,17,4,0.75,10.89,31.58,33.6
5,1,4,1,1,1,26,3,19,5,0.46,14.0,66.73,75.4
5,1,3,0,1,1,42,6,21,0,0.39,11.37,55.71,61.2
4,1,1,0,1,2,13,3,13,3,0.3,15.55,67.38,71.8
1,2,4,0,4,0,11,2,15,2,0.27,50.0,151.25,159.1
0,0,1,1,1,1,32,3,21,2,0.61,10.37,110.61,121.1
3,2,1,0,1,1,47,4,17,6,0.3,12.69,149.11,156.5
2,1,3,0,1,0,11,1,19,5,0.78,24.16,186.03,206.7
0,0,2,1,1,1,25,5,13,0,0.23,9.68,41.14,43.9
2,2,1,1,8,2,8,4,9,1,0.97,50.0,100.0,118.9
0,1,1,0,2,1,6,5,19,5,0.86,20.81,24.97,28.3
5,0,1,1,1,0,45,4,16,5,0.63,7.52,84.6,95.7
1,0,4,1,1,1,5,1,8,2,0.58,9.35,25.71,28.8
3,0,2,1,6,1,11,3,19,4,0.51,11.66,36.34,44.6
1,2,3,0,1,1,10,3,18,4,0.88,32.28,75.32,87.2
2,0,1,1,2,0,27,5,18,1,0.29,20.73,111.94,118.8
2,2,2,0,6,1,46,3,19,5,0.18,50.0,651.67,300.0
0,0,2,1,1,1,10,5,10,2,0.25,10.01,17.02,20.2
5,0,2,0,1,1,25,7,20,0,0.51,3.57,10.84,11.0
4,0,2,1,1,1,13,7,9,6,0.72,7.97,12.58,17.5
5,0,1,1,1,0,0,4,16,1,0.54,6.99,2.0,4.1
4,0,3,0,1,2,33,4,12,2,0.73,6.16,35.57,40.6
2,1,2,0,6,1,18,6,9,3,0.56,50.0,127.5,142.9
5,0,2,1,1,2,19,4,12,1,0.56,7.23,29.19,35.3
0,2,4,1,2,2,1,3,11,0,0.74,50.0,9.17,12.7
0,2,3,1,1,0,8,4,10,1,0.85,31.27,43.78,53.7
0,0,2,0,1,1,45,1,14,1,0.17,7.77,297.2,300.0
1,1,1,0,1,1,35,1,17,0,0.84,13.82,483.7,300.0
1,2,3,1,3,1,1,6,11,5,0.64,50.0,5.83,11.7
1,1,2,1,1,2,27,4,17,0,0.78,21.79,125.02,141.6
4,0,2,0,2,1,34,4,19,3,0.89,6.89,49.78,60.6
1,0,2,0,1,0,9,4,16,3,0.63,6.99,13.37,15.6
1,1,3,1,1,1,42,6,8,3,0.84,20.19,98.93,112.6
2,0,3,1,3,1,48,2,8,1,0.69,19.88,333.98,300.0
0,0,2,1,1,1,22,2,9,6,0.59,9.69,90.6,98.8
4,0,1,1,1,1,14,1,17,6,0.75,8.71,121.94,138.1
0,0,1,0,1,1,32,7,10,2,0.87,7.89,36.07,40.8
5,0,1,0,1,1,27,3,18,4,0.98,4.55,40.95,48.5
4,0,4,0,2,1,8,1,14,6,0.18,6.83,30.05,32.3
0,0,5,0,1,2,33,2,14,2,0.58,9.72,64.15,69.2
0,0,2,1,1,1,5,5,13,4,0.65,10.15,8.63,8.7
4,0,1,0,1,1,49,7,20,6,0.3,5.62,39.34,41.8
3,1,2,1,1,1,27,4,9,6,0.24,8.33,47.79,54.2
3,2,1,1,4,1,43,5,12,3,0.93,28.04,241.14,280.3
4,0,3,1,1,1,0,2,17,1,0.41,7.75,2.0,5.7
0,0,1,0,1,1,42,7,14,3,0.29,8.44,50.64,52.1
1,0,2,0,3,1,25,4,20,6,0.56,7.64,40.59,46.2
0,2,4,0,1,1,41,7,11,2,0.53,28.0,90.2,96.8
4,1,2,0,3,2,19,7,21,4,0.13,25.69,59.27,63.3
3,0,1,1,3,1,48,7,8,0,0.16,8.44,57.87,61.5
1,1,1,1,1,2,36,2,14,1,0.91,21.38,384.84,300.0
0,0,3,1,1,1,43,4,9,0,0.93,11.63,87.52,100.9
1,0,1,1,2,2,7,3,15,2,0.38,11.29,26.34,28.2
1,0,1,1,1,1,3,3,8,3,0.49,9.98,9.98,15.4
3,0,3,1,4,2,2,7,10,3,0.46,10.84,2.17,5.4
3,1,4,0,2,1,42,7,12,6,0.64,6.3,20.79,26.9
4,1,2,0,1,2,16,5,15,6,0.64,17.0,46.24,52.0
2,1,2,0,4,2,6,7,9,3,0.21,41.0,29.87,29.7
0,1,4,1,1,0,48,7,14,2,0.38,19.73,74.41,82.0
3,0,2,1,1,1,28,6,20,4,0.25,5.15,20.43,26.0
4,1,1,1,1,1,31,1,20,1,0.67,19.35,599.85,300.0
2,0,2,0,2,0,45,2,17,3,0.14,14.77,282.48,286.9
4,0,1,1,1,1,27,5,11,5,0.83,8.29,44.77,53.5
2,1,1,1,2,1,11,4,20,2,0.83,36.37,100.02,112.1
2,2,1,1,3,1,20,7,8,1,0.87,50.0,142.86,166.0
2,0,1,0,2,2,4,2,17,0,0.34,18.14,36.28,38.2
0,0,3,1,3,1,2,1,16,4,0.14,13.31,18.63,20.5
0,0,2,0,3,0,0,6,13,5,0.57,10.67,2.0,1.5
0,2,2,0,1,2,40,5,12,4,0.88,40.94,278.39,300.0
3,2,1,1,2,0,42,3,13,2,0.28,23.01,322.14,300.0
1,1,1,1,1,1,22,5,20,4,0.66,16.25,71.5,81.3
2,0,1,1,1,1,39,6,20,2,0.28,13.3,86.45,93.1
5,2,2,1,2,2,4,6,13,4,0.88,36.08,20.45,28.1
0,0,2,0,1,1,48,5,15,1,0.61,9.05,73.85,86.5
2,0,3,1,1,1,33,7,21,5,0.9,14.54,47.98,57.2
4,1,1,1,4,1,39,6,15,1,0.66,24.45,158.92,180.7
0,2,3,1,1,2,47,6,14,5,0.12,44.17,242.2,251.0
0,1,2,0,1,1,39,3,16,6,0.82,17.87,197.46,223.7
1,1,1,1,1,1,41,7,8,6,0.14,17.08,100.04,104.3
0,2,2,0,3,1,11,3,14,0,0.72,47.92,149.35,164.7
5,1,3,1,1,1,12,4,20,1,0.58,11.85,24.88,31.9
4,1,2,1,1,2,48,2,12,2,0.96,21.12,430.85,300.0
3,0,3,0,8,1,17,5,8,6,0.27,6.58,15.66,21.1
4,0,2,0,1,1,21,3,15,0,0.34,4.94,29.39,33.3
4,0,2,0,1,1,30,3,21,0,0.41,5.74,48.79,51.1
0,2,4,1,1,1,12,4,19,5,0.42,34.37,56.71,63.1
4,2,2,1,1,1,37,3,21,2,0.58,28.84,302.34,300.0
2,0,2,1,8,1,17,5,12,4,0.19,35.15,101.58,109.1
4,1,2,1,2,1,12,4,20,4,0.5,18.21,46.44,52.9
4,0,1,1,2,2,46,4,11,1,0.11,10.82,124.43,131.4
1,0,5,0,1,1,16,4,17,4,0.31,6.35,10.16,10.1
0,1,1,0,1,1,27,2,21,1,0.56,17.89,241.52,263.2
0,0,1,0,1,0,28,5,15,1,0.19,9.08,50.85,52.8
2,0,3,1,3,0,10,6,14,2,0.26,21.8,25.43,28.8
4,1,3,1,2,2,8,4,10,4,0.5,25.14,35.2,40.8
4,0,1,1,1,2,1,1,11,0,0.19,9.72,9.72,13.8
0,1,3,0,2,2,11,3,20,2,0.91,24.3,62.37,71.3
2,0,4,1,2,1,28,1,18,1,0.78,15.85,244.09,275.3
2,2,3,0,1,1,13,5,11,3,0.43,50.0,91.0,99.7
0,1,1,1,3,1,46,4,16,5,0.53,27.45,315.68,300.0
0,1,1,1,1,1,16,7,17,3,0.65,16.24,37.12,42.7
1,0,2,1,1,1,16,6,19,4,0.34,10.15,23.01,24.2
5,0,2,0,1,1,6,7,9,6,0.2,4.27,3.11,3.6
1,2,1,1,1,1,16,7,14,4,0.65,37.57,85.87,98.4
2,0,1,1,2,1,44,3,14,6,0.66,19.29,282.92,300.0
3,0,5,0,1,1,13,6,14,6,0.93,3.0,2.6,5.2
1,2,2,0,3,2,28,1,18,6,0.88,48.72,1159.54,300.0
5,0,1,1,1,1,21,2,9,5,0.63,6.34,66.57,73.7
5,1,1,1,1,1,26,7,16,0,0.16,11.26,41.82,45.4
1,0,2,0,1,2,1,5,14,0,0.26,7.25,2.0,2.9
